school_name,type_of_school,adress,BIN,date_of_start_(MM_YY),longitude,latitude
Tumar school,Начальные школы-детские сады и прогимназии,"Улица Масаты, 14а, Астана",,,71.510063,51.130926
Vista School,Начальная школа,"Проспект Ракымжан Кошкарбаев, 11/2, Астана",230740002971.0,7.23,71.480655,51.126852
Zerdeli international School,Начальные школы-детские сады и прогимназии,"Улица Ахмет Байтурсынулы, 63/1, Астана",240740000102.0,7.24,71.539672,51.114792
Zerdeli international School,Начальные школы-детские сады и прогимназии,"Улица Алексея Петрова, 2/2, Астана",221140006911.0,11.22,71.460095,51.150666
Zharkyn Smart School,Школы,"Проспект Абая, 3/2, Астана",210140030246.0,1.21,71.402796,51.166619
Zialy Urpaq Mektebi,Частная школа,"Улица Дулыга, 21/2, Астана",,,71.392087,51.157354
Zialy Urpaq Mektebi,Частная школа,"Улица Балкантау, 104, Астана",,,71.476417,51.132296
Абай Құнанбайұлы атындағы №87 мектеп-гимназия,Школы,"Амангельды Иманова улица, 37, Астана",190840029192.0,8.19,71.455342,51.16332
Академия,Частные детские сады,"Улица Шыганак, 7, Астана",,,71.407006,51.158381
Алтын орда,Школа,"Керей, Жанибек хандар улица, 34, Астана",240340003431.0,3.24,71.439965,51.111692
Ақжол,Частная начальная школа и детский сад,"Улица Айша биби, 35, Астана",,,71.391858,51.142986
Вечерняя сменная школа №39,Школы,"Улица Алии Молдагуловой, 22, Астана",340002086.0,3.0,71.406147,51.184664
Гимназия №5,Гимназии,"Улица Жанибека Тархана, 16, Астана",970540001185.0,5.97,71.454225,51.158057
Гимназия №6,Акимат г. Астаны,"Улица Мухтара Ауэзова, 31, Астана",910940000021.0,9.91,71.420922,51.177381
Гимназия №90 им. Қайыма Мұхамедханова,Школы,"Шоссе Коргалжын, 37/1, Астана",200840024354.0,8.22,71.356637,51.148124
Голубой парус,Школа-детский сад,"Проспект Абылай хана, 28/1, Астана",981041000624.0,10.98,71.483347,51.154019
Дарын,Специализированный лицей №82,"Проспект Улы Дала, 61/1, Астана",151140019551.0,11.15,71.439965,51.096333
Детский сад-школа-гимназия №47,Комплекс,"Улица Сакена Сейфуллина, 21, Астана",930840000268.0,8.93,71.417343,51.170802
Зерде,Школа для одаренных детей №9,"Улица Толе би, 37/1, Астана",50940003779.0,9.05,71.386618,51.10805
Комфортная средняя школа № 115,Школы,"Улица Култегин, 18 стр, Астана",250440033427.0,4.25,71.376366,51.138804
Комфортная средняя школа №100 Акимата города Астаны,Школы,"Улица Е 535, 1, Астана",241240017578.0,12.24,71.345641,51.150251
Комфортная средняя школа №102,Акимат г. Астаны,"Улица Ахмет Байтурсынулы, 7, Астана",240640029880.0,6.24,71.465307,51.126546
Комфортная средняя школа №103,Школы,"Проспект Мангилик Ел, 70, Астана",240740005679.0,7.24,71.419548,51.07169
Комфортная средняя школа №104,Школы,"Улица Жошы хан, 16, Астана",240640030081.0,6.24,71.442055,51.104373
Комфортная средняя школа №105,Школы,"Улица Улытау, 48, Астана",240640031327.0,6.24,71.340172,51.202258
Комфортная средняя школа №106,Школы,"Улица Бейбарыс Султан, 15, Астана",240640029954.0,6.24,71.366201,51.169792
Комфортная средняя школа №107,Школы,"Улица Касым Кайсенов, 4/1, Астана",241140008416.0,11.24,71.446264,51.095792
